Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
ACURA TL	3.7	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	CHNXV03.7JB3	midsize car	6	18	26	21	4	no
ACURA TSX	2.4	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CHNXV02.4DB9	small car	5	21	29	24	5	no
ACURA TSX	2.4	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CHNXV02.4DB9	small car	6	21	29	24	5	no
ACURA TSX	2.4	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CHNXV02.4DB9	small car	5	22	31	26	6	no
ACURA TSX	2.4	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	CHNXV02.4DB9	small car	6	22	31	26	6	yes
ACURA TSX	3.5	6	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CHNXV03.5EB3	small car	5	19	28	23	5	no
ACURA TSX	3.5	6	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	CHNXV03.5EB3	small car	6	19	28	23	5	no
ACURA TSX Wagon	2.4	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CHNXV02.4DB9	station wagon	5	22	30	25	6	no
ACURA TSX Wagon	2.4	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	CHNXV02.4DB9	station wagon	6	22	30	25	6	yes
ASTON MARTIN DB9	5.9	12	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CASXV05.9VH1	small car	5	11	17	13	1	no
ASTON MARTIN DB9	5.9	12	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	CASXV05.9VH1	small car	5	11	17	13	1	no
ASTON MARTIN DB9	5.9	12	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CASXV05.9VH1	small car	5	13	20	15	1	no
ASTON MARTIN DB9	5.9	12	SemiAuto-6	2WD	Gasoline	CA	L2	California LEV-II LEV	CASXV05.9VH1	small car	5	13	20	15	1	no
ASTON MARTIN DBS	5.9	12	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CASXV05.9VH1	small car	5	11	17	13	1	no
ASTON MARTIN DBS	5.9	12	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	CASXV05.9VH1	small car	5	11	17	13	1	no
ASTON MARTIN DBS	5.9	12	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CASXV05.9VH1	small car	5	12	18	14	1	no
ASTON MARTIN DBS	5.9	12	SemiAuto-6	2WD	Gasoline	CA	L2	California LEV-II LEV	CASXV05.9VH1	small car	5	12	18	14	1	no
ASTON MARTIN Rapide	5.9	12	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CASXV05.9VH1	small car	5	13	19	15	1	no
ASTON MARTIN Rapide	5.9	12	SemiAuto-6	2WD	Gasoline	CA	L2	California LEV-II LEV	CASXV05.9VH1	small car	5	13	19	15	1	no
ASTON MARTIN V12 Vantage	5.9	12	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CASXV05.9VH1	small car	5	11	17	13	1	no
ASTON MARTIN V12 Vantage	5.9	12	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	CASXV05.9VH1	small car	5	11	17	13	1	no
ASTON MARTIN V8 Vantage	4.7	8	AutoMan-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CASXV04.7VH2	small car	5	14	20	16	1	no
ASTON MARTIN V8 Vantage	4.7	8	AutoMan-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CASXV04.7VH2	small car	5	14	21	16	1	no
ASTON MARTIN V8 Vantage	4.7	8	AutoMan-6	2WD	Gasoline	CA	L2	California LEV-II LEV	CASXV04.7VH2	small car	5	14	20	16	1	no
ASTON MARTIN V8 Vantage	4.7	8	AutoMan-7	2WD	Gasoline	CA	L2	California LEV-II LEV	CASXV04.7VH2	small car	5	14	21	16	1	no
ASTON MARTIN V8 Vantage	4.7	8	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CASXV04.7VH2	small car	5	13	19	15	1	no
ASTON MARTIN V8 Vantage	4.7	8	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	CASXV04.7VH2	small car	5	13	19	15	1	no
ASTON MARTIN V8 Vantage S	4.7	8	AutoMan-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CASXV04.7VH2	small car	5	14	21	16	1	no
ASTON MARTIN V8 Vantage S	4.7	8	AutoMan-7	2WD	Gasoline	CA	L2	California LEV-II LEV	CASXV04.7VH2	small car	5	14	21	16	1	no
ASTON MARTIN Virage	5.9	12	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CASXV05.9VH1	small car	5	13	18	15	1	no
ASTON MARTIN Virage	5.9	12	SemiAuto-6	2WD	Gasoline	CA	L2	California LEV-II LEV	CASXV05.9VH1	small car	5	13	18	15	1	no
AUDI A3	2	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UA	station wagon	5	21	30	24	5	no
AUDI A3	2	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UA	station wagon	6	21	30	24	5	no
AUDI A3	2	4	Man-6	2WD	Gasoline	FA	B3	Federal Tier 2 Bin 3	CADXV02.03PA	station wagon	7	21	30	24	5	no
AUDI A3	2	4	Man-6	2WD	Gasoline	CA	PZEV	California PZEV	CADXV02.03PA	station wagon	9	21	30	24	5	no
AUDI A3	2	4	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UA	station wagon	5	21	28	24	5	no
AUDI A3	2	4	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UA	station wagon	6	21	28	24	5	no
AUDI A3	2	4	SemiAuto-6	2WD	Diesel	FA	B5	Federal Tier 2 Bin 5	CVWXV02.0U5N	station wagon	5	30	42	34	7	yes
AUDI A3	2	4	SemiAuto-6	2WD	Diesel	CA	U2	California LEV-II ULEV	CVWXV02.0U5N	station wagon	6	30	42	34	7	yes
AUDI A3	2	4	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UA	station wagon	5	22	28	24	5	no
AUDI A3	2	4	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UA	station wagon	6	22	28	24	5	no
AUDI A4	2	4	CVT	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UB	small car	5	22	30	25	6	no
AUDI A4	2	4	CVT	2WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UB	small car	6	22	30	25	6	yes
AUDI A4	2	4	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UB	small car	5	21	31	25	6	no
AUDI A4	2	4	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UB	small car	6	21	31	25	6	yes
AUDI A4	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UB	small car	5	21	29	24	5	no
AUDI A4	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UB	small car	6	21	29	24	5	no
AUDI A4 Avant	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UB	station wagon	5	21	29	24	5	no
AUDI A4 Avant	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UB	station wagon	6	21	29	24	5	no
AUDI A5	2	4	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UB	small car	5	21	31	25	6	no
AUDI A5	2	4	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UB	small car	6	21	31	25	6	yes
AUDI A5	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UB	small car	5	21	29	24	5	no
AUDI A5	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UB	small car	6	21	29	24	5	no
AUDI A5 Cabriolet	2	4	CVT	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UB	small car	5	22	30	25	6	no
AUDI A5 Cabriolet	2	4	CVT	2WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UB	small car	6	22	30	25	6	yes
AUDI A5 Cabriolet	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UB	small car	5	21	29	24	5	no
AUDI A5 Cabriolet	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UB	small car	6	21	29	24	5	no
AUDI A6	2	4	CVT	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UB	midsize car	5	25	33	28	7	yes
AUDI A6	2	4	CVT	2WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UB	midsize car	6	25	33	28	7	yes
AUDI A7	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV03.03UF	midsize car	5	18	28	22	5	no
AUDI A7	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXV03.03UF	midsize car	6	18	28	22	5	no
AUDI A8	4.2	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV04.23UH	midsize car	5	18	28	21	4	no
AUDI A8	4.2	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXV04.23UH	midsize car	6	18	28	21	4	no
AUDI A8 L	4.2	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV04.23UH	large car	5	18	28	21	4	no
AUDI A8 L	4.2	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXV04.23UH	large car	6	18	28	21	4	no
AUDI A8 L	6.3	12	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CVWXV06.3UA8	large car	5	14	21	16	1	no
AUDI A8 L	6.3	12	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	CVWXV06.3UA8	large car	6	14	21	16	1	no
AUDI Q5	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UB	SUV	5	20	27	22	5	no
AUDI Q5	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UB	SUV	6	20	27	22	5	no
AUDI Q5	3.2	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXT03.23UC	SUV	5	18	23	20	4	no
AUDI Q5	3.2	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXT03.23UC	SUV	6	18	23	20	4	no
AUDI Q7	3	6	SemiAuto-8	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	CADXT03.03UG	SUV	5	17	25	20	3	no
AUDI Q7	3	6	SemiAuto-8	4WD	Diesel	CA	U2	California LEV-II ULEV	CADXT03.03UG	SUV	6	17	25	20	3	no
AUDI Q7	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXT03.0TLF	SUV	5	16	22	18	3	no
AUDI Q7	3	6	SemiAuto-8	4WD	Gasoline	CA	L2	California LEV-II LEV	CADXT03.0TLF	SUV	5	16	22	18	3	no
AUDI R8	4.2	8	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV04.2375	small car	5	11	20	14	1	no
AUDI R8	4.2	8	Man-6	4WD	Gasoline	CA	L2	California LEV-II LEV	CADXV04.2375	small car	5	11	20	14	1	no
AUDI R8	5.2	10	AutoMan-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV05.2LR8	small car	5	13	19	15	1	no
AUDI R8	5.2	10	AutoMan-6	4WD	Gasoline	CA	L2	California LEV-II LEV	CADXV05.2LR8	small car	5	13	19	15	1	no
AUDI R8	5.2	10	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV05.2LR8	small car	5	12	19	14	1	no
AUDI R8	5.2	10	Man-6	4WD	Gasoline	CA	L2	California LEV-II LEV	CADXV05.2LR8	small car	5	12	19	14	1	no
AUDI R8 Spyder	4.2	8	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV04.2375	small car	5	11	20	14	1	no
AUDI R8 Spyder	4.2	8	Man-6	4WD	Gasoline	CA	L2	California LEV-II LEV	CADXV04.2375	small car	5	11	20	14	1	no
AUDI R8 Spyder	5.2	10	AutoMan-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV05.2LR8	small car	5	13	19	15	1	no
AUDI R8 Spyder	5.2	10	AutoMan-6	4WD	Gasoline	CA	L2	California LEV-II LEV	CADXV05.2LR8	small car	5	13	19	15	1	no
AUDI R8 Spyder	5.2	10	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV05.2LR8	small car	5	12	19	14	1	no
AUDI R8 Spyder	5.2	10	Man-6	4WD	Gasoline	CA	L2	California LEV-II LEV	CADXV05.2LR8	small car	5	12	19	14	1	no
AUDI S4	3	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV03.03UF	small car	5	18	27	21	4	no
AUDI S4	3	6	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXV03.03UF	small car	6	18	27	21	4	no
AUDI S4	3	6	SemiAuto-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV03.03UF	small car	5	18	28	21	4	no
AUDI S4	3	6	SemiAuto-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXV03.03UF	small car	6	18	28	21	4	no
AUDI S5	4.2	8	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV04.2365	small car	5	14	22	17	2	no
AUDI S5	4.2	8	Man-6	4WD	Gasoline	CA	L2	California LEV-II LEV	CADXV04.2365	small car	5	14	22	17	2	no
AUDI S5	4.2	8	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV04.2365	small car	5	16	24	19	3	no
AUDI S5	4.2	8	SemiAuto-6	4WD	Gasoline	CA	L2	California LEV-II LEV	CADXV04.2365	small car	5	16	24	19	3	no
AUDI S5 Cabriolet	3	6	SemiAuto-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV03.03UF	small car	5	17	26	20	4	no
AUDI S5 Cabriolet	3	6	SemiAuto-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXV03.03UF	small car	6	17	26	20	4	no
AUDI TT Coupe	2	4	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UA	small car	5	23	31	26	6	no
AUDI TT Coupe	2	4	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UA	small car	6	23	31	26	6	yes
AUDI TT Roadster	2	4	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXJ02.03UA	small car	5	23	31	26	6	no
AUDI TT Roadster	2	4	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXJ02.03UA	small car	6	23	31	26	6	yes
AUDI TTRS Coupe	2.5	5	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CADXV02.53UK	small car	5	18	25	20	4	no
AUDI TTRS Coupe	2.5	5	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	CADXV02.53UK	small car	6	18	25	20	4	no
Azure Dynamics Transit Connect Electric	N/A	N/A	Auto-1	2WD	Electricity	FA	B1	Federal Tier 2 Bin 1	CAZDT00.0001	special purpose	10	62	62	62	10	yes
Azure Dynamics Transit Connect Electric Wagon	N/A	N/A	Auto-1	2WD	Electricity	FA	B1	Federal Tier 2 Bin 1	CAZDT00.0001	special purpose	10	62	62	62	10	yes
BENTLEY Continental Flying Spur	6	12	SemiAuto-6	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	CBEXV06.0501	midsize car	5	8/11	13/19	10/14	1	no
BENTLEY Continental Flying Spur	6	12	SemiAuto-6	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	CBEXV06.0501	midsize car	5	8/11	13/19	10/14	1	no
BENTLEY Continental GT	6	12	SemiAuto-6	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	CBEXV06.0501	small car	5	8/12	14/19	10/14	1	no
BENTLEY Continental GT	6	12	SemiAuto-6	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	CBEXV06.0501	small car	5	8/12	14/19	10/14	1	no
BENTLEY Continental GTC	6	12	SemiAuto-6	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	CBEXV06.0501	small car	5	8/11	13/19	10/14	1	no
BENTLEY Continental GTC	6	12	SemiAuto-6	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	CBEXV06.0501	small car	5	8/11	13/19	10/14	1	no
BENTLEY Continental Supersports	6	12	SemiAuto-6	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	CBEXV06.0501	small car	5	8/12	14/19	10/14	1	no
BENTLEY Continental Supersports	6	12	SemiAuto-6	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	CBEXV06.0501	small car	5	8/12	14/19	10/14	1	no
BENTLEY Continental Supersports	6	12	SemiAuto-6	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	CBEXV06.0501	small car	5	8/12	14/19	10/14	1	no
BENTLEY Continental Supersports	6	12	SemiAuto-6	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	CBEXV06.0501	small car	5	8/12	14/19	10/14	1	no
BENTLEY Mulsanne	6.8	8	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBEXV06.84LA	midsize car	5	11	18	13	1	no
BENTLEY Mulsanne	6.8	8	SemiAuto-8	2WD	Gasoline	CA	L2	California LEV-II LEV	CBEXV06.84LA	midsize car	5	11	18	13	1	no
BMW 128Ci Convertible	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXJ03.0E89	small car	5	18	28	22	5	no
BMW 128Ci Convertible	3	6	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXJ03.0E89	small car	6	18	28	22	5	no
BMW 128Ci Convertible	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXV03.051R	small car	5	18	28	22	5	no
BMW 128Ci Convertible	3	6	Man-6	2WD	Gasoline	CA	S2	California LEV-II SULEV	CBMXV03.051R	small car	8	18	28	22	5	no
BMW 128Ci Convertible	3	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXJ03.0E89	small car	5	18	27	21	4	no
BMW 128Ci Convertible	3	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXJ03.0E89	small car	6	18	27	21	4	no
BMW 128Ci Convertible	3	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXV03.051R	small car	5	18	27	21	4	no
BMW 128Ci Convertible	3	6	SemiAuto-6	2WD	Gasoline	CA	S2	California LEV-II SULEV	CBMXV03.051R	small car	8	18	27	21	4	no
BMW 128i	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXJ03.0E89	small car	5	18	28	22	5	no
BMW 128i	3	6	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXJ03.0E89	small car	6	18	28	22	5	no
BMW 128i	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXV03.051R	small car	5	18	28	22	5	no
BMW 128i	3	6	Man-6	2WD	Gasoline	CA	S2	California LEV-II SULEV	CBMXV03.051R	small car	8	18	28	22	5	no
BMW 128i	3	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXJ03.0E89	small car	5	18	28	21	4	no
BMW 128i	3	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXJ03.0E89	small car	6	18	28	21	4	no
BMW 128i	3	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXV03.051R	small car	5	18	28	21	4	no
BMW 128i	3	6	SemiAuto-6	2WD	Gasoline	CA	S2	California LEV-II SULEV	CBMXV03.051R	small car	8	18	28	21	4	no
BMW 135i	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXJ03.0N55	small car	5	20	28	23	5	no
BMW 135i	3	6	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXJ03.0N55	small car	6	20	28	23	5	no
BMW 135i	3	6	SemiAuto-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXJ03.0N55	small car	5	18	25	21	4	no
BMW 135i	3	6	SemiAuto-7	2WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXJ03.0N55	small car	6	18	25	21	4	no
BMW 135i Convertible	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXJ03.0N55	small car	5	19	28	22	5	no
BMW 135i Convertible	3	6	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXJ03.0N55	small car	6	19	28	22	5	no
BMW 135i Convertible	3	6	SemiAuto-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXJ03.0N55	small car	5	18	25	20	4	no
BMW 135i Convertible	3	6	SemiAuto-7	2WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXJ03.0N55	small car	6	18	25	20	4	no
BMW 328Ci Convertible	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXJ03.0E89	small car	5	17	26	20	4	no
BMW 328Ci Convertible	3	6	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXJ03.0E89	small car	6	17	26	20	4	no
BMW 328Ci Convertible	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXV03.051R	small car	5	17	26	20	4	no
BMW 328Ci Convertible	3	6	Man-6	2WD	Gasoline	CA	S2	California LEV-II SULEV	CBMXV03.051R	small car	8	17	26	20	4	no
BMW 328Ci Convertible	3	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXJ03.0E89	small car	5	18	27	21	4	no
BMW 328Ci Convertible	3	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXJ03.0E89	small car	6	18	27	21	4	no
BMW 328Ci Convertible	3	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXV03.051R	small car	5	18	27	21	4	no
BMW 328Ci Convertible	3	6	SemiAuto-6	2WD	Gasoline	CA	S2	California LEV-II SULEV	CBMXV03.051R	small car	8	18	27	21	4	no
BMW 328i	2	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXV02.0N20	small car	5	23	34	27	6	no
BMW 328i	2	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXV02.0N20	small car	6	23	34	27	6	yes
BMW 328i	2	4	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXV02.0N20	small car	5	23	33	26	6	no
BMW 328i	2	4	SemiAuto-8	2WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXV02.0N20	small car	6	23	33	26	6	yes
BMW 328i	2	4	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXV02.0N26	small car	5	23	33	26	6	no
BMW 328i	2	4	SemiAuto-8	2WD	Gasoline	CA	S2	California LEV-II SULEV	CBMXV02.0N26	small car	8	23	33	26	6	yes
BMW 328i	3	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXJ03.0E89	small car	5	17	25	20	4	no
BMW 328i	3	6	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXJ03.0E89	small car	6	17	25	20	4	no
BMW 328i	3	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXV03.051R	small car	5	17	25	20	4	no
BMW 328i	3	6	Man-6	4WD	Gasoline	CA	S2	California LEV-II SULEV	CBMXV03.051R	small car	8	17	25	20	4	no
BMW 328i	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXJ03.0E89	small car	5	18	28	22	5	no
BMW 328i	3	6	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXJ03.0E89	small car	6	18	28	22	5	no
BMW 328i	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXV03.051R	small car	5	18	28	22	5	no
BMW 328i	3	6	Man-6	2WD	Gasoline	CA	S2	California LEV-II SULEV	CBMXV03.051R	small car	8	18	28	22	5	no
BMW 328i	3	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CBMXJ03.0E89	small car	5	17	25	20	4	no
BMW 328i	3	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	CBMXJ03.0E89	small car	6	17	25	20	4	no
