Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
ACURA RLX	3.5	6	SemiAuto-7	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	EHNXV03.52G2	midsize car	8	28	32	30	8	Yes	298
ACURA RLX	3.5	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXV03.55B4	midsize car	5	20	31	24	6	No	378
ACURA RLX	3.5	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXV03.55B4	midsize car	6	20	31	24	6	No	378
ACURA TL	3.5	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXV03.5HB4	midsize car	5	20	29	23	6	No	383
ACURA TL	3.5	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXV03.5HB4	midsize car	6	20	29	23	6	No	383
ACURA TL	3.7	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXV03.7MB3	midsize car	5	17	25	20	5	No	441
ACURA TL	3.7	6	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXV03.7MB3	midsize car	6	17	25	20	5	No	441
ACURA TL	3.7	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXV03.7MB3	midsize car	5	18	26	21	5	No	419
ACURA TL	3.7	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXV03.7MB3	midsize car	6	18	26	21	5	No	419
ACURA TSX	2.4	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXV02.4DB3	small car	5	21	29	24	6	No	370
ACURA TSX	2.4	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXV02.4DB3	small car	6	21	29	24	6	No	370
ACURA TSX	2.4	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXV02.4DB3	small car	5	22	31	26	7	No	346
ACURA TSX	2.4	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXV02.4DB3	small car	6	22	31	26	7	Yes	346
ACURA TSX	3.5	6	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXV03.5HB4	small car	5	19	28	23	6	No	392
ACURA TSX	3.5	6	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXV03.5HB4	small car	6	19	28	23	6	No	392
ACURA TSX Wagon	2.4	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXV02.4DB3	station wagon	5	22	30	25	6	No	358
ACURA TSX Wagon	2.4	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXV02.4DB3	station wagon	6	22	30	25	6	No	358
ASTON MARTIN DB9	5.9	12	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EASXV05.9VH1	small car	5	13	19	15	2	No	588
ASTON MARTIN DB9	5.9	12	SemiAuto-6	2WD	Gasoline	CA	L2	California LEV-II LEV	EASXV05.9VH1	small car	5	13	19	15	2	No	588
ASTON MARTIN Rapide S	5.9	12	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EASXV05.9VH1	small car	5	13	19	15	2	No	588
ASTON MARTIN Rapide S	5.9	12	SemiAuto-6	2WD	Gasoline	CA	L2	California LEV-II LEV	EASXV05.9VH1	small car	5	13	19	15	2	No	588
ASTON MARTIN V8 Vantage	4.7	8	AutoMan-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EASXV04.7VH2	small car	5	14	21	16	3	No	551
ASTON MARTIN V8 Vantage	4.7	8	AutoMan-7	2WD	Gasoline	CA	L2	California LEV-II LEV	EASXV04.7VH2	small car	5	14	21	16	3	No	551
ASTON MARTIN V8 Vantage	4.7	8	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EASXV04.7VH2	small car	5	13	19	15	2	No	581
ASTON MARTIN V8 Vantage	4.7	8	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	EASXV04.7VH2	small car	5	13	19	15	2	No	581
ASTON MARTIN V8 Vantage S	4.7	8	AutoMan-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EASXV04.7VH2	small car	5	14	21	16	3	No	551
ASTON MARTIN V8 Vantage S	4.7	8	AutoMan-7	2WD	Gasoline	CA	L2	California LEV-II LEV	EASXV04.7VH2	small car	5	14	21	16	3	No	551
ASTON MARTIN V8 Vantage S	4.7	8	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EASXV04.7VH2	small car	5	13	19	15	2	No	581
ASTON MARTIN V8 Vantage S	4.7	8	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	EASXV04.7VH2	small car	5	13	19	15	2	No	581
ASTON MARTIN Vanquish	5.9	12	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EASXV05.9VH1	small car	5	13	19	15	2	No	588
ASTON MARTIN Vanquish	5.9	12	SemiAuto-6	2WD	Gasoline	CA	L2	California LEV-II LEV	EASXV05.9VH1	small car	5	13	19	15	2	No	588
AUDI A4	2	4	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV02.03UB	small car	5	22	32	26	7	No	343
AUDI A4	2	4	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV02.03UB	small car	6	22	32	26	7	Yes	343
AUDI A4	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	EADXJ02.0FUB	small car	5	14/20	20/29	16/24	6	No	377/377
AUDI A4	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	EADXJ02.0FUB	small car	6	14/20	20/29	16/24	6	No	377/377
AUDI A4	2	4	SCV-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV02.03UB	small car	5	24	32	27	7	No	333
AUDI A4	2	4	SCV-8	2WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV02.03UB	small car	6	24	32	27	7	Yes	333
AUDI A5	2	4	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV02.03UB	small car	5	22	32	26	7	No	343
AUDI A5	2	4	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV02.03UB	small car	6	22	32	26	7	Yes	343
AUDI A5	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	EADXJ02.0FUB	small car	5	14/20	20/29	16/24	6	No	377/377
AUDI A5	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	EADXJ02.0FUB	small car	6	14/20	20/29	16/24	6	No	377/377
AUDI A5 Cabriolet	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	EADXJ02.0FUB	small car	5	14/20	20/29	16/24	6	No	377/377
AUDI A5 Cabriolet	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	EADXJ02.0FUB	small car	6	14/20	20/29	16/24	6	No	377/377
AUDI A5 Cabriolet	2	4	SCV-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV02.03UB	small car	5	24	32	27	7	No	333
AUDI A5 Cabriolet	2	4	SCV-8	2WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV02.03UB	small car	6	24	32	27	7	Yes	333
AUDI A6	2	4	SCV-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV02.03UB	midsize car	5	25	33	28	7	No	320
AUDI A6	2	4	SCV-8	2WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV02.03UB	midsize car	6	25	33	28	7	Yes	320
AUDI A7	3	6	SemiAuto-8	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	EADXJ03.04UG	midsize car	5	24	38	29	7	No	349
AUDI A7	3	6	SemiAuto-8	4WD	Diesel	CA	U2	California LEV-II ULEV	EADXJ03.04UG	midsize car	6	24	38	29	7	Yes	349
AUDI A7	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXJ03.03UF	midsize car	5	18	28	21	5	No	420
AUDI A7	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXJ03.03UF	midsize car	6	18	28	21	5	No	420
AUDI A8	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXJ03.03UF	midsize car	5	18	28	21	5	No	420
AUDI A8	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXJ03.03UF	midsize car	6	18	28	21	5	No	420
AUDI A8	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.03UJ	midsize car	5	17	28	21	5	No	424
AUDI A8	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV04.03UJ	midsize car	6	17	28	21	5	No	424
AUDI A8 L	3	6	SemiAuto-8	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	EADXJ03.04UG	large car	5	24	36	28	6	No	360
AUDI A8 L	3	6	SemiAuto-8	4WD	Diesel	CA	U2	California LEV-II ULEV	EADXJ03.04UG	large car	6	24	36	28	6	No	360
AUDI A8 L	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXJ03.03UF	large car	5	18	28	21	5	No	420
AUDI A8 L	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXJ03.03UF	large car	6	18	28	21	5	No	420
AUDI A8 L	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.03UJ	large car	5	16	26	19	4	No	460
AUDI A8 L	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV04.03UJ	large car	6	16	26	19	4	No	460
AUDI A8 L	6.3	12	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EVWXV06.3UA8	large car	5	13	21	16	3	No	565
AUDI A8 L	6.3	12	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EVWXV06.3UA8	large car	6	13	21	16	3	No	565
AUDI Q5	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	EADXJ02.0FUB	small SUV	5	14/20	19/28	16/23	6	No	392/393
AUDI Q5	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	EADXJ02.0FUB	small SUV	6	14/20	19/28	16/23	6	No	392/393
AUDI Q5	3	6	SemiAuto-8	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	EADXJ03.04UG	small SUV	5	24	31	27	6	No	385
AUDI Q5	3	6	SemiAuto-8	4WD	Diesel	CA	U2	California LEV-II ULEV	EADXJ03.04UG	small SUV	6	24	31	27	6	No	385
AUDI Q5	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXJ03.03UF	small SUV	5	18	26	21	5	No	429
AUDI Q5	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXJ03.03UF	small SUV	6	18	26	21	5	No	429
AUDI Q5 Hybrid	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXT02.0HUB	small SUV	5	24	30	26	7	No	337
AUDI Q5 Hybrid	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXT02.0HUB	small SUV	6	24	30	26	7	Yes	337
AUDI Q7	3	6	SemiAuto-8	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	EADXT03.03UG	standard SUV	5	19	28	22	4	No	464
AUDI Q7	3	6	SemiAuto-8	4WD	Diesel	CA	U2	California LEV-II ULEV	EADXT03.03UG	standard SUV	6	19	28	22	4	No	464
AUDI Q7	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXT03.0TLF	standard SUV	5	16	22	18	4	No	498
AUDI Q7	3	6	SemiAuto-8	4WD	Gasoline	CA	L2	California LEV-II LEV	EADXT03.0TLF	standard SUV	5	16	22	18	4	No	498
AUDI R8	4.2	8	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.2375	small car	5	14	23	17	3	No	538
AUDI R8	4.2	8	AMS-7	4WD	Gasoline	CA	L2	California LEV-II LEV	EADXV04.2375	small car	5	14	23	17	3	No	538
AUDI R8	4.2	8	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.2375	small car	5	11	20	14	2	No	620
AUDI R8	4.2	8	Man-6	4WD	Gasoline	CA	L2	California LEV-II LEV	EADXV04.2375	small car	5	11	20	14	2	No	620
AUDI R8	5.2	10	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV05.2LR8	small car	5	13	22	16	3	No	557
AUDI R8	5.2	10	AMS-7	4WD	Gasoline	CA	L2	California LEV-II LEV	EADXV05.2LR8	small car	5	13	22	16	3	No	557
AUDI R8	5.2	10	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV05.2LR8	small car	5	12	19	14	2	No	620
AUDI R8	5.2	10	Man-6	4WD	Gasoline	CA	L2	California LEV-II LEV	EADXV05.2LR8	small car	5	12	19	14	2	No	620
AUDI R8 Spyder	4.2	8	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.2375	small car	5	14	23	17	3	No	538
AUDI R8 Spyder	4.2	8	AMS-7	4WD	Gasoline	CA	L2	California LEV-II LEV	EADXV04.2375	small car	5	14	23	17	3	No	538
AUDI R8 Spyder	4.2	8	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.2375	small car	5	11	20	14	2	No	620
AUDI R8 Spyder	4.2	8	Man-6	4WD	Gasoline	CA	L2	California LEV-II LEV	EADXV04.2375	small car	5	11	20	14	2	No	620
AUDI R8 Spyder	5.2	10	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV05.2LR8	small car	5	13	22	16	3	No	557
AUDI R8 Spyder	5.2	10	AMS-7	4WD	Gasoline	CA	L2	California LEV-II LEV	EADXV05.2LR8	small car	5	13	22	16	3	No	557
AUDI R8 Spyder	5.2	10	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV05.2LR8	small car	5	12	19	14	2	No	620
AUDI R8 Spyder	5.2	10	Man-6	4WD	Gasoline	CA	L2	California LEV-II LEV	EADXV05.2LR8	small car	5	12	19	14	2	No	620
AUDI RS5	4.2	8	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.23UL	small car	5	16	23	18	4	No	480
AUDI RS5	4.2	8	AMS-7	4WD	Gasoline	CA	L2	California LEV-II LEV	EADXV04.23UL	small car	5	16	23	18	4	No	480
AUDI RS5 Cabriolet	4.2	8	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.23UL	small car	5	16	22	18	4	No	486
AUDI RS5 Cabriolet	4.2	8	AMS-7	4WD	Gasoline	CA	L2	California LEV-II LEV	EADXV04.23UL	small car	5	16	22	18	4	No	486
AUDI RS7	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.03UJ	midsize car	5	16	27	19	4	No	466
AUDI RS7	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV04.03UJ	midsize car	6	16	27	19	4	No	466
AUDI S4	3	6	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXJ03.03UF	small car	5	18	28	21	5	No	413
AUDI S4	3	6	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXJ03.03UF	small car	6	18	28	21	5	No	413
AUDI S4	3	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXJ03.03UF	small car	5	17	26	20	5	No	439
AUDI S4	3	6	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXJ03.03UF	small car	6	17	26	20	5	No	439
AUDI S5	3	6	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXJ03.03UF	small car	5	18	28	21	5	No	413
AUDI S5	3	6	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXJ03.03UF	small car	6	18	28	21	5	No	413
AUDI S5	3	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXJ03.03UF	small car	5	17	26	20	5	No	439
AUDI S5	3	6	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXJ03.03UF	small car	6	17	26	20	5	No	439
AUDI S5 Cabriolet	3	6	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXJ03.03UF	small car	5	18	26	21	5	No	428
AUDI S5 Cabriolet	3	6	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXJ03.03UF	small car	6	18	26	21	5	No	428
AUDI S6	4	8	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.03UJ	midsize car	5	17	27	20	5	No	441
AUDI S6	4	8	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV04.03UJ	midsize car	6	17	27	20	5	No	441
AUDI S7	4	8	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.03UJ	midsize car	5	17	27	20	5	No	441
AUDI S7	4	8	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV04.03UJ	midsize car	6	17	27	20	5	No	441
AUDI S8	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.03UJ	midsize car	5	15	26	19	4	No	475
AUDI S8	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV04.03UJ	midsize car	6	15	26	19	4	No	475
AUDI SQ5	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXJ03.03UF	small SUV	5	16	23	19	4	No	475
AUDI SQ5	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXJ03.03UF	small SUV	6	16	23	19	4	No	475
AUDI TT Coupe	2	4	AMS-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV02.03UA	small car	5	22	31	26	7	No	346
AUDI TT Coupe	2	4	AMS-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV02.03UA	small car	6	22	31	26	7	Yes	346
AUDI TT Roadster	2	4	AMS-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV02.03UA	small car	5	22	31	26	7	No	346
AUDI TT Roadster	2	4	AMS-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV02.03UA	small car	6	22	31	26	7	Yes	346
AUDI allroad quattro	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	EADXJ02.0FUB	station wagon	5	14/20	18/27	15/23	6	No	404/394
AUDI allroad quattro	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	EADXJ02.0FUB	station wagon	6	14/20	18/27	15/23	6	No	404/394
BENTLEY Continental GT	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.03UJ	small car	5	15	24	18	4	No	485
BENTLEY Continental GT	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV04.03UJ	small car	6	15	24	18	4	No	485
BENTLEY Continental GT	6	12	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	EBEXV06.04UC	small car	5	9/12	15/21	11/15	2	No	576/580
BENTLEY Continental GT	6	12	SemiAuto-8	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	EBEXV06.04UC	small car	5	9/12	15/21	11/15	2	No	576/580
BENTLEY Continental GT Speed	6	12	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	EBEXV06.04UC	small car	5	9/12	15/20	11/15	2	No	589/604
BENTLEY Continental GT Speed	6	12	SemiAuto-8	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	EBEXV06.04UC	small car	5	9/12	15/20	11/15	2	No	589/604
BENTLEY Continental GTC	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EADXV04.03UJ	small car	5	14	24	17	3	No	517
BENTLEY Continental GTC	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EADXV04.03UJ	small car	6	14	24	17	3	No	517
BENTLEY Continental GTC	6	12	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	EBEXV06.04UC	small car	5	9/12	15/20	11/15	2	No	589/604
BENTLEY Continental GTC	6	12	SemiAuto-8	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	EBEXV06.04UC	small car	5	9/12	15/20	11/15	2	No	589/604
BENTLEY Flying Spur	6	12	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	EBEXV06.04UC	midsize car	5	9/12	15/20	11/15	2	No	589/604
BENTLEY Flying Spur	6	12	SemiAuto-8	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	EBEXV06.04UC	midsize car	5	9/12	15/20	11/15	2	No	589/604
BENTLEY Mulsanne	6.8	8	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EBEXV06.84LA	midsize car	5	11	18	13	1	No	688
BENTLEY Mulsanne	6.8	8	SemiAuto-8	2WD	Gasoline	CA	L2	California LEV-II LEV	EBEXV06.84LA	midsize car	5	11	18	13	1	No	688
BMW 228i	2	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EBMXJ02.0N20	small car	5	22	34	26	7	No	338
BMW 228i	2	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	EBMXJ02.0N20	small car	6	22	34	26	7	Yes	338
BMW 228i	2	4	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EBMXJ02.0N20	small car	5	23	36	28	7	No	320
BMW 228i	2	4	SemiAuto-8	2WD	Gasoline	CA	U2	California LEV-II ULEV	EBMXJ02.0N20	small car	6	23	36	28	7	Yes	320
BMW 320i	2	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EBMXJ02.0N20	small car	5	23	36	27	7	No	322
BMW 320i	2	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	EBMXJ02.0N20	small car	6	23	36	27	7	Yes	322
BMW 320i	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EBMXJ02.0N20	small car	5	23	35	27	7	No	329
BMW 320i	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	EBMXJ02.0N20	small car	6	23	35	27	7	Yes	329
BMW 320i	2	4	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EBMXJ02.0N20	small car	5	24	36	28	7	No	320
BMW 320i	2	4	SemiAuto-8	2WD	Gasoline	CA	U2	California LEV-II ULEV	EBMXJ02.0N20	small car	6	24	36	28	7	Yes	320
BMW 328d	2	4	SemiAuto-8	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	EBMXV02.0N47	small car	5	31	43	35	8	Yes	288
BMW 328d	2	4	SemiAuto-8	4WD	Diesel	CA	L2	California LEV-II LEV	EBMXV02.0N47	small car	6	31	43	35	8	Yes	288
BMW 328d	2	4	SemiAuto-8	2WD	Diesel	FA	B5	Federal Tier 2 Bin 5	EBMXV02.0N47	small car	5	32	45	37	8	Yes	279
BMW 328d	2	4	SemiAuto-8	2WD	Diesel	CA	L2	California LEV-II LEV	EBMXV02.0N47	small car	6	32	45	37	8	Yes	279
BMW 328d Sports Wagon	2	4	SemiAuto-8	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	EBMXV02.0N47	station wagon	5	31	43	35	8	Yes	288
BMW 328d Sports Wagon	2	4	SemiAuto-8	4WD	Diesel	CA	L2	California LEV-II LEV	EBMXV02.0N47	station wagon	6	31	43	35	8	Yes	288
BMW 328i	2	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EBMXJ02.0N20	small car	5	22	34	26	7	No	337
BMW 328i	2	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	EBMXJ02.0N20	small car	6	22	34	26	7	Yes	337
BMW 328i	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EBMXJ02.0N20	small car	5	22	33	26	7	No	343
