Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
AUDI S5	3	6	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAJ03.0AUD	small car	6	17	26	20	4	No	439
AUDI S5 Cabriolet	3	6	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAJ03.0AUD	small car	5	18	26	21	5	No	428
AUDI S5 Cabriolet	3	6	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAJ03.0AUD	small car	6	18	26	21	5	No	428
AUDI S6	4	8	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV04.0NUA	midsize car	5	18	27	21	5	No	423
AUDI S6	4	8	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV04.0NUA	midsize car	6	18	27	21	5	No	423
AUDI S7	4	8	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV04.0NUA	midsize car	5	17	27	21	5	No	427
AUDI S7	4	8	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV04.0NUA	midsize car	6	17	27	21	5	No	427
AUDI S8	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV04.0NUA	midsize car	5	16	26	20	4	No	452
AUDI S8	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV04.0NUA	midsize car	6	16	26	20	4	No	452
AUDI SQ5	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAJ03.0AUD	small SUV	5	17	24	19	4	No	458
AUDI SQ5	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAJ03.0AUD	small SUV	6	17	24	19	4	No	458
AUDI TT Coupe	2	4	AMS-6	4WD	Gasoline	FA	B2	Federal Tier 2 Bin 2	GVGAV02.0APA	small car	9	23	30	26	6	No	336
AUDI TT Coupe	2	4	AMS-6	4WD	Gasoline	CA	PZEV	California PZEV	GVGAV02.0APA	small car	9	23	30	26	6	No	336
AUDI TT Roadster	2	4	AMS-6	4WD	Gasoline	FA	B2	Federal Tier 2 Bin 2	GVGAV02.0APA	small car	9	23	30	26	6	No	336
AUDI TT Roadster	2	4	AMS-6	4WD	Gasoline	CA	PZEV	California PZEV	GVGAV02.0APA	small car	9	23	30	26	6	No	336
AUDI TTS Coupe	2	4	AMS-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV02.0AUA	small car	5	23	27	25	6	No	358
AUDI TTS Coupe	2	4	AMS-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV02.0AUA	small car	6	23	27	25	6	No	358
AUDI allroad quattro	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	GVGAJ02.0AUF	station wagon	5	15/21	21/28	17/24	5	No	358/373
AUDI allroad quattro	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	GVGAJ02.0AUF	station wagon	6	15/21	21/28	17/24	5	No	358/373
BENTLEY Continental GT	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV04.0NUA	small car	5	15	25	19	4	No	475
BENTLEY Continental GT	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV04.0NUA	small car	6	15	25	19	4	No	475
BENTLEY Continental GT	6	12	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV06.0VLN	small car	5	12	21	15	2	No	580
BENTLEY Continental GT	6	12	SemiAuto-8	4WD	Gasoline	CA	L2	California LEV-II LEV	GVGAV06.0VLN	small car	5	12	21	15	2	No	580
BENTLEY Continental GT Convertible	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV04.0NUA	small car	5	14	24	17	3	No	517
BENTLEY Continental GT Convertible	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV04.0NUA	small car	6	14	24	17	3	No	517
BENTLEY Continental GT Convertible	6	12	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV06.0VLN	small car	5	12	20	15	2	No	604
BENTLEY Continental GT Convertible	6	12	SemiAuto-8	4WD	Gasoline	CA	L2	California LEV-II LEV	GVGAV06.0VLN	small car	5	12	20	15	2	No	604
BENTLEY Flying Spur	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV04.0NUA	midsize car	5	14	24	17	3	No	517
BENTLEY Flying Spur	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV04.0NUA	midsize car	6	14	24	17	3	No	517
BENTLEY Flying Spur	6	12	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV06.0VLN	midsize car	5	12	20	15	2	No	604
BENTLEY Flying Spur	6	12	SemiAuto-8	4WD	Gasoline	CA	L2	California LEV-II LEV	GVGAV06.0VLN	midsize car	5	12	20	15	2	No	604
BENTLEY Mulsanne	6.8	8	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV06.8ELP	midsize car	5	11	18	13	1	No	656
BENTLEY Mulsanne	6.8	8	SemiAuto-8	2WD	Gasoline	CA	L2	California LEV-II LEV	GVGAV06.8ELP	midsize car	5	11	18	13	1	No	656
BLUECAR S.A.S. Bluecar	N/A	N/A	Man-1	2WD	Electricity	FA	B1	Federal Tier 2 Bin 1	GBRGV00.0L8X	small car	10	84	67	76	10	Elite	0
BLUECAR S.A.S. Bluecar	N/A	N/A	Man-1	2WD	Electricity	CA	ZEV	California ZEV	GBRGV00.0L8X	small car	10	84	67	76	10	Elite	0
BMW 228i	2	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GBMXJ02.0N20	small car	5	22	34	26	6	No	337
BMW 228i	2	4	Man-6	2WD	Gasoline	CA	L2ULEV125	California LEV-II ULEV125	GBMXJ02.0N20	small car	6	22	34	26	6	No	337
BMW 228i	2	4	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GBMXJ02.0N20	small car	5	23	35	27	6	No	327
BMW 228i	2	4	SemiAuto-8	2WD	Gasoline	CA	L2ULEV125	California LEV-II ULEV125	GBMXJ02.0N20	small car	6	23	35	27	6	No	327
BMW 228i	2	4	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GBMXV02.0N26	small car	5	23	35	27	6	No	327
BMW 228i	2	4	SemiAuto-8	2WD	Gasoline	CA	S2	California LEV-II SULEV	GBMXV02.0N26	small car	8	23	35	27	6	No	327
BMW 228i	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GBMXV02.0N26	small car	5	23	35	27	6	No	332
BMW 228i	2	4	SemiAuto-8	4WD	Gasoline	CA	S2	California LEV-II SULEV	GBMXV02.0N26	small car	8	23	35	27	6	No	332
BMW 228i Convertible	2	4	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GBMXV02.0N26	small car	5	23	34	27	6	No	334
BMW 228i Convertible	2	4	SemiAuto-8	2WD	Gasoline	CA	S2	California LEV-II SULEV	GBMXV02.0N26	small car	8	23	34	27	6	No	334
BMW 228i Convertible	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GBMXV02.0N26	small car	5	22	34	26	6	No	338
BMW 228i Convertible	2	4	SemiAuto-8	4WD	Gasoline	CA	S2	California LEV-II SULEV	GBMXV02.0N26	small car	8	22	34	26	6	No	338
BMW 320i	2	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GBMXJ02.0N20	small car	5	23	36	28	7	No	321
BMW 320i	2	4	Man-6	2WD	Gasoline	CA	L2ULEV125	California LEV-II ULEV125	GBMXJ02.0N20	small car	6	23	36	28	7	Yes	321
BMW 320i	2	4	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GBMXJ02.0N20	small car	5	24	36	28	7	No	319
BMW 320i	2	4	SemiAuto-8	2WD	Gasoline	CA	L2ULEV125	California LEV-II ULEV125	GBMXJ02.0N20	small car	6	24	36	28	7	Yes	319
BMW 320i	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GBMXJ02.0N20	small car	5	23	35	27	6	No	332
BMW 320i	2	4	SemiAuto-8	4WD	Gasoline	CA	L2ULEV125	California LEV-II ULEV125	GBMXJ02.0N20	small car	6	23	35	27	6	No	332
