Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
ASTON MARTIN DB9	5.9	12	SemiAuto-6	2WD	Gasoline	CA	L2	California LEV-II LEV	DASXV05.9VH1	small car	5	13	19	15	3	No	588
ASTON MARTIN V8 Vantage	4.7	8	AutoMan-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DASXV04.7VH2	small car	5	14	21	16	3	No	551
ASTON MARTIN V8 Vantage	4.7	8	AutoMan-7	2WD	Gasoline	CA	L2	California LEV-II LEV	DASXV04.7VH2	small car	5	14	21	16	3	No	551
ASTON MARTIN V8 Vantage	4.7	8	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DASXV04.7VH2	small car	5	13	19	15	3	No	581
ASTON MARTIN V8 Vantage	4.7	8	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	DASXV04.7VH2	small car	5	13	19	15	3	No	581
ASTON MARTIN V8 Vantage S	4.7	8	AutoMan-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DASXV04.7VH2	small car	5	14	21	16	3	No	551
ASTON MARTIN V8 Vantage S	4.7	8	AutoMan-7	2WD	Gasoline	CA	L2	California LEV-II LEV	DASXV04.7VH2	small car	5	14	21	16	3	No	551
ASTON MARTIN V8 Vantage S	4.7	8	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DASXV04.7VH2	small car	5	13	19	15	3	No	581
ASTON MARTIN V8 Vantage S	4.7	8	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	DASXV04.7VH2	small car	5	13	19	15	3	No	581
AUDI A3	2	4	AMS-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV02.03UA	station wagon	5	21	28	24	6	No	385
AUDI A3	2	4	AMS-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV02.03UA	station wagon	6	21	28	24	6	No	385
AUDI A3	2	4	AMS-6	2WD	Diesel	FA	B5	Federal Tier 2 Bin 5	DVWXV02.0U5N	station wagon	5	30	42	34	8	Yes	297
AUDI A3	2	4	AMS-6	2WD	Diesel	CA	U2	California LEV-II ULEV	DVWXV02.0U5N	station wagon	6	30	42	34	8	Yes	297
AUDI A3	2	4	AMS-6	2WD	Gasoline	FA	B3	Federal Tier 2 Bin 3	DADXV02.03PA	station wagon	7	21	28	24	6	No	381
AUDI A3	2	4	AMS-6	2WD	Gasoline	CA	PZEV	California PZEV	DADXV02.03PA	station wagon	9	21	28	24	6	No	381
AUDI A3	2	4	Man-6	2WD	Gasoline	FA	B3	Federal Tier 2 Bin 3	DADXV02.03PA	station wagon	7	21	30	24	6	No	376
AUDI A3	2	4	Man-6	2WD	Gasoline	CA	PZEV	California PZEV	DADXV02.03PA	station wagon	9	21	30	24	6	No	376
AUDI A4	2	4	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV02.03UB	small car	5	22	32	26	7	No	343
AUDI A4	2	4	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV02.03UB	small car	6	22	32	26	7	Yes	343
AUDI A4	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	DADXJ02.0FUB	small car	5	14/20	20/29	16/24	6	No	377/377
AUDI A4	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	DADXJ02.0FUB	small car	6	14/20	20/29	16/24	6	No	377/377
AUDI A4	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV02.03UB	small car	5	20	30	24	6	No	374
AUDI A4	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV02.03UB	small car	6	20	30	24	6	No	374
AUDI A4	2	4	SCV-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV02.03UB	small car	5	24	31	26	7	No	342
AUDI A4	2	4	SCV-8	2WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV02.03UB	small car	6	24	31	26	7	Yes	342
AUDI A5	2	4	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV02.03UB	small car	5	22	32	26	7	No	343
AUDI A5	2	4	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV02.03UB	small car	6	22	32	26	7	Yes	343
AUDI A5	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	DADXJ02.0FUB	small car	5	14/20	20/29	16/24	6	No	377/377
AUDI A5	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	DADXJ02.0FUB	small car	6	14/20	20/29	16/24	6	No	377/377
AUDI A5	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV02.03UB	small car	5	20	30	24	6	No	374
AUDI A5	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV02.03UB	small car	6	20	30	24	6	No	374
AUDI A5 Cabriolet	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	DADXJ02.0FUB	small car	5	14/20	20/29	16/24	6	No	377/377
AUDI A5 Cabriolet	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	DADXJ02.0FUB	small car	6	14/20	20/29	16/24	6	No	377/377
AUDI A5 Cabriolet	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV02.03UB	small car	5	20	30	24	6	No	374
AUDI A5 Cabriolet	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV02.03UB	small car	6	20	30	24	6	No	374
AUDI A5 Cabriolet	2	4	SCV-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV02.03UB	small car	5	24	31	26	7	No	342
AUDI A5 Cabriolet	2	4	SCV-8	2WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV02.03UB	small car	6	24	31	26	7	Yes	342
AUDI A6	2	4	SCV-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV02.03UB	midsize car	5	25	33	28	7	No	320
AUDI A6	2	4	SCV-8	2WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV02.03UB	midsize car	6	25	33	28	7	Yes	320
AUDI A7	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXJ03.03UF	midsize car	5	18	28	21	5	No	418
AUDI A7	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXJ03.03UF	midsize car	6	18	28	21	5	No	418
AUDI A8	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXJ03.03UF	midsize car	5	18	28	21	5	No	418
AUDI A8	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXJ03.03UF	midsize car	6	18	28	21	5	No	418
AUDI A8	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV04.03UJ	midsize car	5	17	28	21	5	No	424
AUDI A8	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV04.03UJ	midsize car	6	17	28	21	5	No	424
AUDI A8 L	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXJ03.03UF	large car	5	18	28	21	5	No	418
AUDI A8 L	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXJ03.03UF	large car	6	18	28	21	5	No	418
AUDI A8 L	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV04.03UJ	large car	5	16	26	19	4	No	460
AUDI A8 L	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV04.03UJ	large car	6	16	26	19	4	No	460
AUDI A8 L	6.3	12	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DVWXV06.3UA8	large car	5	13	21	16	3	No	565
AUDI A8 L	6.3	12	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DVWXV06.3UA8	large car	6	13	21	16	3	No	565
AUDI Q5	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	DADXJ02.0FUB	small SUV	5	14/20	19/28	16/23	5	No	392/393
AUDI Q5	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	DADXJ02.0FUB	small SUV	6	14/20	19/28	16/23	5	No	392/393
AUDI Q5	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXT02.04UB	small SUV	5	20	28	23	6	No	389
AUDI Q5	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXT02.04UB	small SUV	6	20	28	23	6	No	389
AUDI Q5	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXJ03.03UF	small SUV	5	18	26	21	5	No	429
AUDI Q5	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXJ03.03UF	small SUV	6	18	26	21	5	No	429
AUDI Q5 Hybrid	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXT02.0HUB	small SUV	5	24	30	26	7	No	337
AUDI Q5 Hybrid	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXT02.0HUB	small SUV	6	24	30	26	7	Yes	337
AUDI Q7	3	6	SemiAuto-8	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	DADXT03.03UG	standard SUV	5	19	28	22	4	No	464
AUDI Q7	3	6	SemiAuto-8	4WD	Diesel	CA	U2	California LEV-II ULEV	DADXT03.03UG	standard SUV	6	19	28	22	4	No	464
AUDI Q7	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXT03.0TLF	standard SUV	5	16	22	18	4	No	500
AUDI Q7	3	6	SemiAuto-8	4WD	Gasoline	CA	L2	California LEV-II LEV	DADXT03.0TLF	standard SUV	5	16	22	18	4	No	500
AUDI RS5	4.2	8	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV04.23UL	small car	5	16	23	18	4	No	480
AUDI RS5	4.2	8	AMS-7	4WD	Gasoline	CA	L2	California LEV-II LEV	DADXV04.23UL	small car	5	16	23	18	4	No	480
AUDI RS5 Cabriolet	4.2	8	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV04.23UL	small car	5	16	22	18	4	No	486
AUDI RS5 Cabriolet	4.2	8	AMS-7	4WD	Gasoline	CA	L2	California LEV-II LEV	DADXV04.23UL	small car	5	16	22	18	4	No	486
AUDI S4	3	6	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXJ03.03UF	small car	5	18	28	21	5	No	413
AUDI S4	3	6	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXJ03.03UF	small car	6	18	28	21	5	No	413
AUDI S4	3	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXJ03.03UF	small car	5	17	26	20	5	No	402
AUDI S4	3	6	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXJ03.03UF	small car	6	17	26	20	5	No	402
AUDI S5	3	6	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXJ03.03UF	small car	5	18	28	21	5	No	413
AUDI S5	3	6	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXJ03.03UF	small car	6	18	28	21	5	No	413
AUDI S5	3	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXJ03.03UF	small car	5	17	26	20	5	No	402
AUDI S5	3	6	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXJ03.03UF	small car	6	17	26	20	5	No	402
AUDI S5 Cabriolet	3	6	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXJ03.03UF	small car	5	18	26	21	5	No	429
AUDI S5 Cabriolet	3	6	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXJ03.03UF	small car	6	18	26	21	5	No	429
AUDI S6	4	8	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV04.03UJ	midsize car	5	17	27	20	5	No	440
AUDI S6	4	8	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV04.03UJ	midsize car	6	17	27	20	5	No	440
AUDI S7	4	8	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV04.03UJ	midsize car	5	17	27	20	5	No	440
AUDI S7	4	8	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV04.03UJ	midsize car	6	17	27	20	5	No	440
AUDI S8	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV04.03UJ	midsize car	5	15	26	19	4	No	475
AUDI S8	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV04.03UJ	midsize car	6	15	26	19	4	No	475
AUDI TT Coupe	2	4	AMS-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV02.03UA	small car	5	22	31	26	7	No	345
AUDI TT Coupe	2	4	AMS-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV02.03UA	small car	6	22	31	26	7	Yes	345
AUDI TT Roadster	2	4	AMS-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV02.03UA	small car	5	22	31	26	7	No	345
AUDI TT Roadster	2	4	AMS-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV02.03UA	small car	6	22	31	26	7	Yes	345
AUDI TTRS Coupe	2.5	5	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV02.53UK	small car	5	18	25	20	5	No	432
AUDI TTRS Coupe	2.5	5	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV02.53UK	small car	6	18	25	20	5	No	432
AUDI allroad quattro	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	DADXJ02.0FUB	station wagon	5	14/20	18/27	15/23	5	No	404/394
AUDI allroad quattro	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	DADXJ02.0FUB	station wagon	6	14/20	18/27	15/23	5	No	404/394
AUDI allroad quattro	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV02.03UB	station wagon	5	20	27	23	6	No	394
AUDI allroad quattro	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV02.03UB	station wagon	6	20	27	23	6	No	394
BENTLEY Continental Flying Spur	6	12	SemiAuto-6	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	DBEXV06.0501	midsize car	5	11-Aug	13/19	14-Oct	2	No	648/646
BENTLEY Continental Flying Spur	6	12	SemiAuto-6	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	DBEXV06.0501	midsize car	5	11-Aug	13/19	14-Oct	2	No	648/646
BENTLEY Continental GT	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV04.03UJ	small car	5	15	24	18	4	No	488
BENTLEY Continental GT	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV04.03UJ	small car	6	15	24	18	4	No	488
BENTLEY Continental GT	6	12	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	DBEXV06.04UC	small car	5	12-Sep	15/21	15-Nov	3	No	576/580
BENTLEY Continental GT	6	12	SemiAuto-8	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	DBEXV06.04UC	small car	5	12-Sep	15/21	15-Nov	3	No	576/580
BENTLEY Continental GT	6	12	SemiAuto-6	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	DBEXV06.0501	small car	5	12-Aug	14/19	14-Oct	2	No	648/633
BENTLEY Continental GT	6	12	SemiAuto-6	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	DBEXV06.0501	small car	5	12-Aug	14/19	14-Oct	2	No	648/633
BENTLEY Continental GTC	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DADXV04.03UJ	small car	5	14	24	17	4	No	517
BENTLEY Continental GTC	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	DADXV04.03UJ	small car	6	14	24	17	4	No	517
BENTLEY Continental GTC	6	12	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	DBEXV06.04UC	small car	5	12-Sep	15/20	15-Nov	3	No	589/604
BENTLEY Continental GTC	6	12	SemiAuto-8	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	DBEXV06.04UC	small car	5	12-Sep	15/20	15-Nov	3	No	589/604
BENTLEY Continental GTC	6	12	SemiAuto-6	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	DBEXV06.0501	small car	5	11-Aug	13/19	14-Oct	2	No	648/646
BENTLEY Continental GTC	6	12	SemiAuto-6	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	DBEXV06.0501	small car	5	11-Aug	13/19	14-Oct	2	No	648/646
BENTLEY Continental Supersports	6	12	SemiAuto-6	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	DBEXV06.0501	small car	5	12-Aug	14/19	14-Oct	2	No	648/633
BENTLEY Continental Supersports	6	12	SemiAuto-6	4WD	Ethanol/Gas	CA	L2	California LEV-II LEV	DBEXV06.0501	small car	5	12-Aug	14/19	14-Oct	2	No	648/633
BENTLEY Mulsanne	6.8	8	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBEXV06.84LA	midsize car	5	11	18	13	2	No	688
BENTLEY Mulsanne	6.8	8	SemiAuto-8	2WD	Gasoline	CA	L2	California LEV-II LEV	DBEXV06.84LA	midsize car	5	11	18	13	2	No	688
BMW 128Ci Convertible	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXV03.051R	small car	5	19	28	22	5	No	405
BMW 128Ci Convertible	3	6	Man-6	2WD	Gasoline	CA	S2	California LEV-II SULEV	DBMXV03.051R	small car	8	19	28	22	5	No	405
BMW 128Ci Convertible	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXV03.0E89	small car	5	19	28	22	5	No	405
BMW 128Ci Convertible	3	6	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	DBMXV03.0E89	small car	6	19	28	22	5	No	405
BMW 128Ci Convertible	3	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXV03.051R	small car	5	18	27	21	5	No	426
BMW 128Ci Convertible	3	6	SemiAuto-6	2WD	Gasoline	CA	S2	California LEV-II SULEV	DBMXV03.051R	small car	8	18	27	21	5	No	426
BMW 128Ci Convertible	3	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXV03.0E89	small car	5	18	27	21	5	No	426
BMW 128Ci Convertible	3	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	DBMXV03.0E89	small car	6	18	27	21	5	No	426
BMW 128i	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXV03.051R	small car	5	19	28	22	5	No	405
BMW 128i	3	6	Man-6	2WD	Gasoline	CA	S2	California LEV-II SULEV	DBMXV03.051R	small car	8	19	28	22	5	No	405
BMW 128i	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXV03.0E89	small car	5	19	28	22	5	No	405
BMW 128i	3	6	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	DBMXV03.0E89	small car	6	19	28	22	5	No	405
BMW 128i	3	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXV03.051R	small car	5	18	28	22	5	No	413
BMW 128i	3	6	SemiAuto-6	2WD	Gasoline	CA	S2	California LEV-II SULEV	DBMXV03.051R	small car	8	18	28	22	5	No	413
BMW 128i	3	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXV03.0E89	small car	5	18	28	22	5	No	413
BMW 128i	3	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	DBMXV03.0E89	small car	6	18	28	22	5	No	413
BMW 135i	3	6	AMS-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXJ03.0N55	small car	5	18	25	21	5	No	432
BMW 135i	3	6	AMS-7	2WD	Gasoline	CA	U2	California LEV-II ULEV	DBMXJ03.0N55	small car	6	18	25	21	5	No	432
BMW 135i	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXJ03.0N55	small car	5	20	28	23	6	No	385
BMW 135i	3	6	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	DBMXJ03.0N55	small car	6	20	28	23	6	No	385
BMW 135i Convertible	3	6	AMS-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXJ03.0N55	small car	5	18	25	20	5	No	433
BMW 135i Convertible	3	6	AMS-7	2WD	Gasoline	CA	U2	California LEV-II ULEV	DBMXJ03.0N55	small car	6	18	25	20	5	No	433
BMW 135i Convertible	3	6	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXJ03.0N55	small car	5	19	28	22	5	No	403
BMW 135i Convertible	3	6	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	DBMXJ03.0N55	small car	6	19	28	22	5	No	403
BMW 320i	2	4	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXJ02.0N20	small car	5	22	34	26	7	No	345
BMW 320i	2	4	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	DBMXJ02.0N20	small car	6	22	34	26	7	Yes	345
BMW 320i	2	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	DBMXJ02.0N20	small car	5	23	36	27	7	No	323
BMW 320i	2	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	DBMXJ02.0N20	small car	6	23	36	27	7	Yes	323
